# Time-averaged data for fix flux
# TimeStep c_jVz c_jQzIon c_jQzNa c_jVzIon c_jVzAvg c_jVzAvg_spce
10000 17021.6 111.192 111.192 111.192 71.2199 71.3517
20000 -527.274 14.2479 14.2479 14.2479 -2.20617 -2.2849
30000 3750.99 42.8537 42.8537 42.8537 15.6945 15.6462
40000 4519.15 95.6945 95.6945 95.6945 18.9086 18.6644
50000 9854.17 30.8659 30.8659 30.8659 41.2308 41.4485
60000 2061.66 42.4621 42.4621 42.4621 8.62618 8.51981
70000 2982.5 19.595 19.595 19.595 12.4791 12.5017
80000 6490.66 28.6507 28.6507 28.6507 27.1576 27.2659
90000 11920 29.9709 29.9709 29.9709 49.8746 50.169
100000 5591.23 73.4177 73.4177 73.4177 23.3943 23.2819
110000 13299.7 34.2369 34.2369 34.2369 55.6472 55.9724
120000 26974.8 154.977 154.977 154.977 112.865 113.164
130000 10372.6 20.2545 20.2545 20.2545 43.3999 43.6807
140000 9258.06 59.264 59.264 59.264 38.7366 38.8135
150000 13195.5 62.7765 62.7765 62.7765 55.2114 55.4124
160000 19791.5 58.4531 58.4531 58.4531 82.8094 83.2616
170000 12233.6 64.2224 64.2224 64.2224 51.1867 51.3476
180000 12078.7 24.6525 24.6525 24.6525 50.5384 50.8609
190000 -1545.05 -14.6541 -14.6541 -14.6541 -6.46464 -6.45736
200000 10108.7 29.2724 29.2724 29.2724 42.2957 42.5291
210000 -5182.34 -21.3143 -21.3143 -21.3143 -21.6834 -21.7765
220000 361 17.9799 17.9799 17.9799 1.51046 1.44734
230000 -122.684 -5.66218 -5.66218 -5.66218 -0.513321 -0.493762
240000 3432.8 4.36324 4.36324 4.36324 14.3632 14.466
250000 -7177.98 -3.33799 -3.33799 -3.33799 -30.0334 -30.2727
260000 0.0929895 -17.8582 -17.8582 -17.8582 0.000389077 0.0757435
270000 3837.15 21.1037 21.1037 21.1037 16.055 16.1014
280000 1188.11 4.24211 4.24211 4.24211 4.97116 4.99522
290000 -183.427 0.0808174 0.0808174 0.0808174 -0.767475 -0.774293
300000 -290.198 -5.39322 -5.39322 -5.39322 -1.21422 -1.20171
310000 -250.279 0.342066 0.342066 0.342066 -1.04719 -1.05747
320000 2639.5 3.69853 3.69853 3.69853 11.0439 11.1215
330000 -2130.72 -3.28985 -3.28985 -3.28985 -8.91515 -8.9765
340000 -1428.32 2.30928 2.30928 2.30928 -5.97622 -6.03639
350000 781.688 -9.02925 -9.02925 -9.02925 3.27066 3.33636
360000 -374.208 2.32835 2.32835 2.32835 -1.56572 -1.58876
370000 402.049 3.73061 3.73061 3.73061 1.68221 1.68067
380000 775.463 3.7957 3.7957 3.7957 3.24462 3.25598
390000 -1117.04 -3.87125 -3.87125 -3.87125 -4.67382 -4.69692
400000 166.645 -2.44746 -2.44746 -2.44746 0.69726 0.713471
410000 -265.225 7.47135 7.47135 7.47135 -1.10973 -1.15062
420000 936.788 -4.30923 -4.30923 -4.30923 3.91962 3.97088
430000 1163.57 0.489408 0.489408 0.489408 4.86847 4.90749
440000 -2153.15 -8.14674 -8.14674 -8.14674 -9.00901 -9.05066
450000 61.272 -4.55173 -4.55173 -4.55173 0.256368 0.277737
460000 2551.71 13.1379 13.1379 13.1379 10.6766 10.7113
470000 -3554.69 -11.1478 -11.1478 -11.1478 -14.8732 -14.9517
480000 1427.54 15.7652 15.7652 15.7652 5.97296 5.95685
490000 -436.422 -9.08175 -9.08175 -9.08175 -1.82603 -1.80312
500000 -68.1672 -3.01897 -3.01897 -3.01897 -0.285218 -0.274887
510000 1862 8.87251 8.87251 8.87251 7.79078 7.81909
520000 -1925.96 12.3273 12.3273 12.3273 -8.05841 -8.17842
530000 -9586.98 -51.1898 -51.1898 -51.1898 -40.1129 -40.2354
540000 12262.9 42.7068 42.7068 42.7068 51.309 51.5618
550000 -204.089 -6.82699 -6.82699 -6.82699 -0.853928 -0.832328
560000 -6028.76 5.56588 5.56588 5.56588 -25.2249 -25.4613
570000 4529.86 -9.35536 -9.35536 -9.35536 18.9534 19.1528
580000 1086.05 5.73201 5.73201 5.73201 4.54414 4.55831
590000 819.502 -3.41418 -3.41418 -3.41418 3.42888 3.47222
600000 -731.715 5.6769 5.6769 5.6769 -3.06157 -3.11136
610000 1931.16 -2.25644 -2.25644 -2.25644 8.08019 8.15789
620000 -2236.49 -4.96765 -4.96765 -4.96765 -9.35769 -9.4157
630000 -16.0098 0.584081 0.584081 0.584081 -0.0669865 -0.0700163
640000 -2372.63 6.86684 6.86684 6.86684 -9.92734 -10.0401
650000 104.888 -7.67213 -7.67213 -7.67213 0.438864 0.474939
660000 1487.41 3.97309 3.97309 3.97309 6.22346 6.25921
